VENUE,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,SPREAD
Road,32,87,9,27,15,20,13,29,42,17,22,6,18,6,88,9.5
Home,45,94,13,35,14,19,11,40,51,31,22,12,14,5,117,-9.5
Road,40,82,8,24,16,16,6,25,31,19,19,9,11,5,104,6
Home,39,75,13,19,22,22,5,29,34,22,18,5,12,3,113,-6
Road,47,98,12,24,23,26,21,34,55,25,19,13,13,3,129,8
Home,40,85,7,33,13,18,8,27,35,24,19,11,16,6,100,-8
Road,47,97,4,16,10,16,16,36,52,27,22,5,10,7,108,4
Home,34,89,6,18,22,28,15,30,45,20,15,5,11,4,96,-4
Road,45,104,18,48,13,18,10,39,49,26,27,8,15,8,121,5
Home,47,93,10,19,26,34,8,44,52,30,23,11,16,6,130,-5
Road,43,97,15,44,16,20,15,29,44,22,19,8,16,3,117,14
Home,48,89,11,32,15,18,12,35,47,36,20,13,19,9,122,-14
Road,35,84,4,22,17,22,8,32,40,17,24,8,13,0,91,7
Home,41,86,3,18,24,29,14,37,51,17,22,8,11,0,109,-7
Road,40,89,7,23,20,24,11,40,51,27,22,5,10,10,107,0
Home,39,92,3,16,15,20,10,36,46,23,22,4,8,5,96,0
Road,36,86,6,18,20,29,15,30,45,20,23,6,10,5,98,3.5
Home,36,80,11,24,19,27,11,34,45,19,25,6,13,11,102,-3.5
Road,37,83,8,24,25,33,11,47,58,18,22,7,24,4,107,4
Home,38,92,3,19,23,26,5,28,33,31,29,16,11,5,102,-4
Road,39,94,6,22,19,26,13,40,53,19,23,7,10,3,103,-7
Home,36,84,7,24,18,25,5,38,43,21,22,5,13,10,97,7
Road,44,86,6,21,19,26,10,31,41,24,20,5,13,5,113,3
Home,36,77,4,16,18,27,10,31,41,20,29,6,18,3,94,-3
Road,44,86,7,29,19,27,10,29,39,29,23,10,14,1,114,-5
Home,45,89,12,35,18,22,11,28,39,21,24,10,15,4,120,5
Road,40,94,6,20,13,18,12,28,40,25,20,14,19,4,99,2.5
Home,44,88,12,26,14,18,14,38,52,28,19,13,21,7,114,-2.5
Road,38,76,8,23,15,24,3,33,36,22,25,6,11,6,99,-1
Home,36,92,11,25,22,30,18,37,55,25,21,5,12,1,105,1
Road,36,79,6,18,24,27,9,31,40,23,26,10,9,8,102,-8
Home,28,70,6,20,32,38,6,34,40,22,21,7,15,0,94,8
Road,37,91,8,29,32,46,15,33,48,12,25,10,7,4,114,-1.5
Home,39,85,4,18,24,32,9,39,48,18,34,4,14,4,106,1.5
Road,33,79,12,32,16,22,9,31,40,20,15,8,17,3,94,-3
Home,35,90,4,16,17,18,18,33,51,12,20,9,18,3,91,3
Road,37,98,7,24,13,20,14,35,49,22,22,7,13,6,94,-6.5
Home,38,87,10,33,17,20,12,40,52,20,23,6,16,4,103,6.5
Road,33,95,8,26,8,12,14,30,44,20,13,8,9,3,82,4
Home,48,95,7,19,5,6,9,44,53,27,11,8,12,4,108,-4
Road,42,94,5,28,21,32,7,37,44,15,29,11,15,3,110,10.5
Home,40,96,5,21,28,38,14,43,57,13,24,11,22,3,113,-10.5
Road,35,92,7,22,20,24,13,36,49,20,20,10,8,9,97,1.5
Home,32,86,14,34,13,20,11,41,52,19,23,2,19,4,91,-1.5
Road,33,70,15,32,25,31,5,36,41,21,22,6,18,1,106,2
Home,35,80,8,29,20,24,6,28,34,13,21,11,9,2,98,-2
Road,32,84,9,23,16,21,11,32,43,16,29,6,14,7,89,9.5
Home,31,75,6,25,28,40,13,34,47,14,18,4,14,7,96,-9.5
Road,44,91,9,28,25,28,9,40,49,32,22,8,14,2,122,-9.5
Home,47,100,5,22,15,23,12,37,49,29,24,8,13,5,114,9.5
Road,42,85,5,20,15,23,6,41,47,31,14,11,12,7,104,-6.5
Home,28,80,5,18,11,15,4,35,39,16,20,9,20,5,72,6.5
Road,39,81,15,31,11,17,4,38,42,25,26,4,13,6,104,-1.5
Home,32,79,9,32,25,33,6,32,38,22,17,8,8,6,98,1.5
Road,37,86,9,25,21,26,11,29,40,19,30,3,12,2,104,2.5
Home,40,76,6,21,25,39,6,35,41,24,25,4,12,4,111,-2.5
Road,38,84,8,28,15,26,13,37,50,21,23,6,20,5,99,11.5
Home,36,88,11,37,22,30,13,27,40,17,27,8,9,6,105,-11.5
Road,43,88,7,18,8,9,8,25,33,34,16,8,13,7,101,3
Home,45,86,9,21,19,21,13,34,47,34,14,8,12,6,118,-3
Road,37,84,11,34,23,28,11,34,45,23,22,12,18,6,108,6.5
Home,41,88,8,22,20,24,8,36,44,25,23,14,14,5,110,-6.5
Road,32,86,4,22,11,15,7,38,45,14,19,6,9,5,79,12.5
Home,35,83,10,24,18,23,6,44,50,21,15,6,9,7,98,-12.5
Road,45,98,10,32,15,21,5,40,45,23,30,10,15,8,115,1
Home,38,100,6,23,31,39,16,45,61,19,21,10,17,5,113,-1
Road,37,70,7,22,22,31,7,29,36,19,25,6,11,5,103,-2.5
Home,39,85,9,26,19,25,11,20,31,24,24,6,13,5,106,2.5
Road,29,73,7,19,10,13,7,36,43,18,22,8,18,2,75,8
Home,34,83,6,27,14,20,14,35,49,17,14,8,13,4,88,-8
Road,35,83,8,29,28,33,7,36,43,27,23,6,15,5,106,-12
Home,37,90,8,23,18,25,11,39,50,19,26,10,11,6,100,12
Road,37,82,10,18,22,26,14,30,44,20,26,4,15,5,106,-6
Home,37,80,7,20,18,26,6,30,36,19,24,7,12,6,99,6
Road,34,87,4,17,11,14,10,30,40,22,16,10,12,4,83,7
Home,39,88,5,20,15,20,16,42,58,23,14,8,15,4,98,-7
Road,35,87,7,32,19,24,11,30,41,20,18,15,21,2,96,8.5
Home,45,95,9,26,14,17,10,35,45,29,22,15,19,6,113,-8.5
Road,38,86,5,25,22,25,8,32,40,19,23,8,14,4,103,1
Home,39,88,15,31,19,26,11,36,47,24,26,9,14,2,112,-1
Road,32,84,11,30,17,20,12,30,42,17,17,8,9,3,92,6.5
Home,34,80,11,31,14,21,9,37,46,16,21,5,17,4,93,-6.5
Road,33,81,9,22,27,35,11,35,46,14,18,2,8,9,102,7.5
Home,41,88,4,16,19,25,11,32,43,16,28,7,7,9,105,-7.5
Road,45,89,11,27,17,18,13,45,58,26,22,9,19,9,118,-5.5
Home,33,96,5,31,17,21,16,29,45,14,15,12,15,3,88,5.5
Road,36,75,10,23,13,19,6,32,38,26,34,10,19,6,95,7.5
Home,33,79,11,30,29,47,17,26,43,24,20,11,13,6,106,-7.5
Road,35,84,5,15,23,31,10,34,44,19,33,11,20,0,98,10.5
Home,40,80,6,16,30,38,5,39,44,21,23,8,16,4,116,-10.5
Road,43,90,17,44,17,25,11,21,32,30,25,5,7,2,120,8.5
Home,43,83,16,32,26,31,12,34,46,22,21,4,11,2,128,-8.5
Road,42,93,6,25,13,17,12,27,39,29,15,7,10,6,103,-4
Home,40,81,9,20,12,16,7,35,42,28,20,5,15,8,101,4
Road,40,89,6,28,22,25,11,33,44,14,25,8,19,2,108,9.5
Home,41,87,10,28,23,29,11,32,43,19,20,10,15,8,115,-9.5
Road,34,89,5,23,23,27,9,44,53,12,23,4,15,4,96,4
Home,37,86,13,29,21,29,6,39,45,24,21,10,15,9,108,-4
Road,35,86,7,22,12,15,8,35,43,18,20,6,11,9,89,3.5
Home,41,89,8,13,12,21,10,38,48,19,16,7,10,5,102,-3.5
Road,44,91,10,32,19,21,11,38,49,30,25,9,15,5,117,3
Home,36,82,9,26,32,41,9,33,42,23,17,13,13,5,113,-3
Road,27,75,4,24,22,29,8,24,32,10,22,17,20,4,80,5.5
Home,43,78,12,20,18,23,10,40,50,29,22,10,21,5,116,-5.5
Road,38,76,15,31,15,18,2,37,39,22,20,5,10,8,106,11
Home,33,76,6,20,19,21,4,30,34,19,15,6,9,5,91,-11
Road,50,89,10,26,17,23,7,38,45,36,19,14,16,4,127,-6
Home,37,86,14,39,16,21,6,26,32,23,17,12,18,4,104,6
Road,43,77,10,25,17,25,4,27,31,21,24,16,13,2,113,1
Home,42,72,3,10,16,24,6,30,36,21,20,8,20,5,103,-1
Road,34,86,12,38,13,15,8,29,37,23,24,8,17,2,93,11.5
Home,39,79,13,34,18,26,9,35,44,25,17,8,15,3,109,-11.5
Road,37,88,9,25,18,21,10,28,38,21,18,11,13,6,101,-4
Home,41,76,13,27,14,17,5,40,45,27,23,10,19,3,109,4
Road,42,89,15,40,19,27,19,35,54,25,21,12,19,8,118,1
Home,37,85,8,20,17,25,7,27,34,18,22,10,16,6,99,-1
Road,48,90,9,22,18,20,11,31,42,24,25,11,15,9,123,11
Home,41,85,11,32,23,29,10,27,37,30,19,10,18,1,116,-11
Road,30,81,11,34,12,16,5,38,43,17,26,8,21,9,83,6
Home,33,94,8,27,15,20,13,39,52,20,22,12,17,5,89,-6
Road,35,81,7,20,23,31,15,34,49,21,19,7,19,7,100,2.5
Home,41,87,14,32,11,17,10,29,39,28,24,10,12,4,107,-2.5
Road,33,77,7,26,8,10,6,30,36,18,20,4,12,4,81,4.5
Home,35,77,12,25,15,26,7,34,41,18,21,6,12,3,97,-4.5
Road,42,101,12,33,19,21,10,43,53,25,23,8,14,8,115,-3.5
Home,44,103,5,16,25,30,14,45,59,15,20,10,12,5,118,3.5
Road,34,84,5,20,12,20,10,42,52,14,24,8,21,4,85,6
Home,34,87,7,22,8,18,8,33,41,22,19,13,17,5,83,-6
Road,38,80,7,18,11,17,11,28,39,17,23,8,14,1,94,1
Home,38,84,10,30,16,23,13,31,44,24,14,5,14,4,102,-1
Road,38,81,10,23,21,27,10,22,32,29,23,14,21,4,107,-2.5
Home,47,82,12,27,19,24,12,29,41,32,23,10,21,6,125,2.5
Road,39,81,6,22,18,25,7,37,44,24,24,10,20,2,102,3.5
Home,35,88,9,22,20,25,14,29,43,20,22,8,16,4,99,-3.5
Road,46,96,11,32,19,22,10,29,39,25,28,4,8,6,122,7.5
Home,41,84,14,34,32,37,7,35,42,24,19,6,8,6,128,-7.5
Road,35,87,10,27,16,28,13,28,41,20,20,8,16,6,96,10.5
Home,46,89,14,30,16,20,15,31,46,27,18,9,15,14,122,-10.5
Road,32,83,5,25,23,36,10,37,47,22,24,12,18,3,92,2
Home,31,80,5,20,28,35,11,35,46,13,23,7,19,3,95,-2
Road,34,88,9,28,10,15,12,31,43,19,22,10,13,5,87,7.5
Home,37,84,6,25,16,18,13,37,50,14,16,7,15,5,96,-7.5
Road,36,86,10,30,17,24,7,42,49,24,18,7,16,3,99,-5.5
Home,35,87,9,36,16,21,7,39,46,20,22,12,15,4,95,5.5
Road,46,89,9,21,16,21,11,29,40,32,23,7,5,2,117,6.5
Home,37,84,8,23,22,27,15,27,42,15,16,4,12,4,104,-6.5
Road,32,85,8,27,27,33,11,36,47,19,23,17,11,6,99,-4
Home,31,84,9,26,17,22,13,35,48,26,28,4,18,9,88,4
Road,40,93,8,24,24,28,12,47,59,18,27,7,15,2,112,4
Home,43,94,10,30,15,28,6,37,43,28,21,7,8,13,111,-4
Road,36,80,12,31,21,26,7,35,42,21,20,9,14,3,105,1.5
Home,34,83,10,28,17,20,7,37,44,18,21,5,12,3,95,-1.5
Road,37,83,6,20,20,22,9,40,49,17,25,9,11,8,100,-5
Home,30,80,11,26,15,24,9,33,42,15,19,7,12,4,86,5
Road,39,86,5,32,14,20,9,31,40,26,13,13,20,3,97,-10.5
Home,45,95,8,30,19,21,16,35,51,26,19,9,16,5,117,10.5
Road,33,84,4,19,22,29,17,24,41,12,19,7,17,8,92,5
Home,45,86,7,16,15,24,11,30,41,24,21,9,12,9,112,-5
Road,37,91,14,38,14,18,11,38,49,23,15,10,16,5,102,-13
Home,40,87,14,38,7,12,5,40,45,21,23,9,17,9,101,13
Road,34,86,6,17,12,17,14,35,49,11,23,4,10,5,86,2
Home,31,78,9,28,17,27,10,33,43,21,16,4,8,6,88,-2
Road,31,94,7,25,17,20,16,32,48,15,15,8,16,2,86,3.5
Home,40,84,7,20,16,22,9,38,47,22,16,9,13,9,103,-3.5
Road,34,79,6,18,20,25,13,27,40,17,13,8,16,5,94,2.5
Home,46,86,12,26,7,12,8,28,36,27,20,8,11,9,111,-2.5
Road,37,85,12,36,11,13,12,31,43,22,26,9,26,7,97,3
Home,45,85,8,20,14,24,13,31,44,29,13,17,19,6,112,-3
Road,33,84,10,28,15,19,13,23,36,27,19,8,14,3,91,2.5
Home,41,82,14,33,21,25,17,36,53,28,22,12,15,10,117,-2.5
Road,47,91,9,23,13,14,7,34,41,24,19,8,8,6,116,5
Home,30,74,10,25,22,25,7,33,40,19,18,5,15,5,92,-5
Road,38,75,8,25,30,35,7,27,34,21,19,6,10,4,114,1.5
Home,42,83,8,20,17,19,10,29,39,18,26,8,12,5,109,-1.5
Road,32,71,14,33,22,27,5,32,37,19,25,7,15,5,100,-2
Home,31,81,6,26,26,32,12,32,44,15,20,9,13,5,94,2
Road,34,78,5,16,23,31,13,34,47,21,22,4,9,5,96,10
Home,30,84,7,30,24,31,13,30,43,22,26,6,6,5,91,-10
Road,30,82,6,29,9,12,9,42,51,14,26,11,27,2,75,2
Home,33,88,9,38,11,12,10,36,46,14,20,12,15,2,86,-2
Road,44,84,11,23,24,31,9,38,47,21,23,7,17,6,123,7
Home,41,90,8,25,17,21,11,28,39,31,24,3,11,4,107,-7
Road,40,91,6,20,22,28,11,29,40,20,30,8,17,2,108,3
Home,41,90,10,23,27,35,15,38,53,22,22,8,19,5,119,-3
Road,43,85,11,19,12,20,10,35,45,20,22,10,10,11,109,-8
Home,31,77,7,21,15,22,9,33,42,16,19,5,18,2,84,8
Road,41,79,17,37,15,18,6,31,37,28,18,6,18,7,114,1.5
Home,39,94,10,27,18,20,16,29,45,20,16,12,13,5,106,-1.5
Road,40,94,9,33,11,15,12,40,52,23,25,8,18,4,100,3
Home,41,84,12,32,28,32,3,40,43,30,15,12,11,4,122,-3
Road,33,85,9,30,5,6,6,33,39,28,23,6,14,6,80,7
Home,42,89,3,19,25,31,15,41,56,26,11,7,8,4,112,-7
Road,31,84,4,17,19,22,12,29,41,12,16,8,12,7,85,6.5
Home,37,85,9,28,14,17,10,37,47,24,18,8,16,5,97,-6.5
Road,30,82,4,12,18,26,11,28,39,14,19,5,11,2,82,8.5
Home,41,76,13,25,19,22,2,44,46,28,20,8,10,7,114,-8.5
Road,39,80,7,21,21,27,11,32,43,26,16,8,19,1,106,16
Home,45,90,16,35,10,12,10,28,38,35,17,14,15,4,116,-16
Road,41,81,11,29,17,24,11,39,50,22,21,1,19,4,110,8.5
Home,37,99,11,42,21,25,13,26,39,21,20,12,6,1,106,-8.5
Road,39,92,12,28,20,28,15,26,41,20,21,11,16,3,110,-3.5
Home,42,76,12,33,23,26,5,38,43,20,19,5,20,5,119,3.5
Road,35,70,10,24,27,34,6,33,39,24,23,6,22,4,107,2
Home,44,86,7,24,13,19,8,24,32,29,30,14,14,5,108,-2
Road,43,86,7,21,28,33,15,26,41,18,27,10,16,2,121,8.5
Home,45,81,14,31,20,28,7,28,35,22,27,5,20,4,124,-8.5
Road,43,82,10,23,13,15,8,29,37,24,12,11,11,4,109,4.5
Home,38,78,10,26,11,14,8,29,37,20,19,6,16,1,97,-4.5
Road,38,84,5,21,13,18,7,33,40,23,23,5,10,9,94,5.5
Home,39,81,8,25,16,20,5,34,39,24,21,7,10,5,102,-5.5
Road,33,79,11,33,19,27,7,33,40,19,20,9,18,4,96,7.5
Home,44,92,10,30,12,17,9,41,50,25,21,11,14,5,110,-7.5
Road,35,81,10,31,13,22,7,24,31,21,19,5,11,4,93,-1.5
Home,46,92,10,21,16,20,19,35,54,29,26,9,11,7,118,1.5
Road,38,82,8,34,14,18,10,36,46,24,22,5,12,6,98,2
Home,38,82,8,26,20,29,5,32,37,24,19,8,8,3,104,-2
Road,45,87,13,23,20,26,10,35,45,27,23,8,6,5,123,1
Home,38,85,8,24,23,30,12,27,39,20,19,2,9,5,107,-1
Road,46,95,14,36,9,19,10,33,43,23,21,11,17,6,115,11.5
Home,49,90,9,19,15,20,7,36,43,25,17,9,16,6,122,-11.5
Road,41,91,9,27,16,21,8,23,31,24,21,14,13,3,107,3.5
Home,42,83,9,20,22,27,13,35,48,24,20,8,21,7,115,-3.5
Road,43,83,11,26,15,22,7,28,35,25,24,10,11,6,112,3.5
Home,31,74,12,34,28,31,11,28,39,18,21,6,19,5,102,-3.5
Road,32,89,9,22,27,32,9,32,41,20,24,11,11,5,100,-2.5
Home,38,84,8,22,23,30,10,39,49,20,20,7,17,6,107,2.5
Road,37,78,10,30,17,22,8,37,45,25,24,7,19,4,101,7
Home,33,84,7,23,26,30,10,29,39,22,15,14,10,5,99,-7
Road,31,88,6,30,12,14,11,36,47,16,23,4,14,3,80,8.5
Home,38,87,11,32,24,33,14,41,55,24,15,9,7,7,111,-8.5
Road,34,86,6,28,21,28,13,29,42,20,20,10,7,2,95,16.5
Home,43,74,17,33,13,22,5,34,39,33,22,3,15,5,116,-16.5
Road,39,89,9,25,25,27,11,36,47,22,19,9,10,7,112,5.5
Home,40,91,6,18,20,25,11,37,48,23,20,4,11,5,106,-5.5
Road,37,89,6,16,18,20,12,36,48,18,12,7,10,2,98,0
Home,36,88,13,29,10,15,14,32,46,22,19,8,13,5,95,0
Road,46,85,14,30,19,20,9,35,44,33,18,15,15,6,125,-6.5
Home,38,94,13,36,12,17,17,27,44,26,18,7,18,3,101,6.5
Road,38,74,9,27,16,22,4,38,42,18,19,8,21,2,101,4.5
Home,34,85,8,21,15,20,11,32,43,18,19,13,15,3,91,-4.5
Road,39,88,5,19,22,23,4,36,40,23,28,14,13,3,105,-5
Home,36,86,11,32,26,31,13,41,54,24,21,7,19,6,109,5
Road,36,86,14,33,19,26,13,34,47,16,21,9,15,6,105,-6.5
Home,38,87,3,15,15,19,10,36,46,16,21,7,15,5,94,6.5
Road,43,90,6,22,21,22,8,37,45,18,21,8,5,5,113,3
Home,38,93,17,41,18,24,18,39,57,22,16,1,11,4,111,-3
Road,33,81,7,28,14,16,12,40,52,19,18,9,15,7,87,-4
Home,26,78,8,20,14,19,8,35,43,13,18,11,12,6,74,4
Road,33,94,6,23,15,17,21,36,57,19,26,7,25,11,87,6
Home,35,90,11,27,34,43,19,34,53,23,18,16,15,3,115,-6
Road,39,86,11,27,21,35,11,34,45,18,20,9,10,3,110,-4.5
Home,38,88,16,28,16,19,9,36,45,21,27,3,16,1,108,4.5
Road,32,76,5,25,17,21,9,33,42,14,14,2,11,4,86,9
Home,36,81,9,20,15,19,10,35,45,24,13,8,8,2,96,-9
Road,43,88,6,21,28,35,13,35,48,18,21,7,15,3,120,5.5
Home,45,86,13,33,19,27,7,29,36,29,24,8,11,4,122,-5.5
Road,52,94,16,30,6,7,10,37,47,36,17,8,10,5,126,1.5
Home,39,90,6,20,15,19,12,30,42,20,10,4,10,5,99,-1.5
Road,35,80,8,25,27,33,15,32,47,22,21,7,13,7,105,2.5
Home,36,86,6,27,21,28,11,29,40,17,22,9,13,9,99,-2.5
Road,44,97,7,23,12,16,17,32,49,19,23,3,16,2,107,8
Home,39,83,7,22,33,38,11,33,44,18,20,10,11,6,118,-8
Road,36,83,11,29,13,20,10,29,39,21,20,14,19,4,96,13.5
Home,48,95,13,32,8,14,15,37,52,31,14,10,16,6,117,-13.5
Road,38,91,4,13,15,18,13,36,49,19,22,3,12,7,95,9
Home,39,97,5,15,23,25,15,37,52,21,20,7,10,6,106,-9
Road,41,76,5,18,19,24,2,33,35,21,19,6,10,11,106,-2
Home,34,89,15,47,17,21,16,30,46,22,19,6,14,4,100,2
Road,40,76,11,24,28,37,9,33,42,25,19,7,14,4,119,-5.5
Home,40,89,8,22,17,21,15,24,39,26,31,11,13,3,105,5.5
Road,40,81,6,20,16,19,6,39,45,12,19,5,9,4,102,-2.5
Home,38,81,5,17,10,19,4,35,39,21,17,5,8,4,91,2.5
Road,35,78,6,30,20,21,3,29,32,20,26,8,13,4,96,3
Home,36,68,7,18,27,36,5,30,35,20,20,9,12,5,106,-3
Road,46,90,4,18,10,14,11,26,37,23,16,11,9,1,106,3.5
Home,36,84,9,25,14,19,14,28,42,15,14,6,15,4,95,-3.5
Road,40,84,16,37,26,30,6,49,55,22,19,6,17,10,122,5
Home,40,107,8,33,16,21,17,38,55,23,20,9,12,3,104,-5
Road,36,95,11,29,10,12,10,35,45,23,19,7,5,3,93,8
Home,39,92,14,38,8,15,12,41,53,25,13,3,9,8,100,-8
Road,46,86,11,24,16,20,8,30,38,24,20,4,9,7,119,9
Home,47,92,7,25,16,26,12,30,42,22,19,4,10,6,117,-9
Road,33,71,8,24,25,30,5,34,39,16,31,6,17,5,99,4.5
Home,42,80,13,27,28,42,9,35,44,28,19,10,10,4,125,-4.5
Road,46,90,8,24,20,26,8,30,38,27,29,10,13,3,120,16
Home,45,87,16,33,27,31,8,35,43,32,20,8,16,7,133,-16
Road,36,91,11,29,22,29,16,43,59,11,25,4,18,6,105,4
Home,39,99,8,29,26,32,14,30,44,21,23,8,7,8,112,-4
Road,27,84,5,25,10,13,9,43,52,12,17,3,14,5,69,6
Home,35,90,8,25,10,10,7,42,49,22,14,9,9,9,88,-6
Road,32,84,5,27,8,11,11,29,40,15,16,8,11,7,77,4.5
Home,34,78,9,25,16,18,14,37,51,18,16,5,17,5,93,-4.5
Road,33,88,5,27,17,22,13,38,51,16,21,3,15,6,88,3
Home,43,92,5,16,13,16,4,43,47,25,14,4,9,9,104,-3
Road,38,95,12,41,17,20,11,33,44,19,27,9,10,0,105,-5.5
Home,35,79,6,21,30,36,8,38,46,16,17,9,16,4,106,5.5
Road,34,90,5,22,15,17,10,29,39,18,17,10,12,7,88,12
Home,44,91,17,40,10,17,16,39,55,20,19,6,17,10,115,-12
Road,37,84,4,15,12,21,10,31,41,22,23,14,13,8,90,11
Home,33,82,8,15,20,27,14,38,52,24,15,4,17,7,94,-11
Road,36,76,8,21,22,26,14,30,44,13,26,4,16,2,102,6
Home,35,73,8,28,18,22,6,23,29,17,27,8,8,1,96,-6
Road,34,77,10,33,17,22,9,28,37,18,21,6,21,2,95,15
Home,48,90,14,25,17,21,9,34,43,32,22,17,11,6,127,-15
Road,46,96,13,29,12,18,12,28,40,24,25,11,8,5,117,6
Home,44,83,13,33,20,28,10,36,46,26,18,4,17,7,121,-6
Road,37,80,6,17,13,19,6,29,35,18,13,14,19,4,93,-5.5
Home,36,89,7,23,11,14,17,31,48,13,23,11,23,7,90,5.5
Road,43,80,11,24,18,22,4,33,37,25,17,10,13,6,115,-1.5
Home,38,89,15,35,17,21,14,29,43,25,19,4,18,5,108,1.5
Road,41,98,7,20,24,28,19,48,67,16,19,7,10,4,113,3
Home,34,95,9,34,11,18,15,34,49,17,18,8,11,4,88,-3
Road,45,99,12,41,16,20,9,38,47,23,27,8,14,6,118,7
Home,41,92,9,28,34,43,14,41,55,24,17,9,11,2,125,-7
Road,38,91,8,23,18,25,11,29,40,18,26,8,11,1,102,-4.5
Home,42,77,10,28,15,22,5,36,41,30,26,6,17,1,109,4.5
Road,30,82,7,21,15,19,9,39,48,19,16,5,17,9,82,4.5
Home,34,88,10,27,11,19,13,37,50,17,15,7,12,7,89,-4.5
Road,35,86,11,30,12,20,11,40,51,19,16,3,18,5,93,-5
Home,43,86,10,28,7,11,5,35,40,22,16,8,10,12,103,5
Road,34,83,8,23,7,10,5,27,32,16,19,9,9,3,83,8
Home,33,76,7,21,17,23,13,40,53,18,17,6,19,3,90,-8
Road,42,85,8,23,10,12,8,32,40,19,14,6,10,1,102,3.5
Home,42,93,9,25,12,19,19,33,52,24,11,8,9,9,105,-3.5
Road,39,98,8,32,14,18,15,32,47,25,25,9,14,2,100,8.5
Home,35,72,10,32,27,31,3,36,39,29,17,6,16,8,107,-8.5
Road,40,92,14,40,9,14,12,35,47,25,10,10,16,4,103,1.5
Home,40,84,12,25,13,14,5,39,44,25,15,7,16,7,105,-1.5
Road,44,87,13,36,26,28,7,28,35,33,25,9,12,7,127,-3
Home,37,82,10,25,37,41,13,33,46,16,22,8,14,1,121,3
Road,39,79,8,20,18,29,7,28,35,14,29,8,16,4,104,5
Home,45,93,8,17,22,24,14,35,49,23,24,8,14,4,120,-5
Road,40,82,15,26,16,19,9,34,43,24,22,6,15,2,111,11.5
Home,37,81,9,25,24,34,8,27,35,15,19,13,8,7,107,-11.5
Road,43,88,11,30,13,17,9,28,37,29,21,11,11,7,110,-6.5
Home,36,76,9,20,24,31,10,36,46,21,17,5,16,3,105,6.5
Road,41,86,12,29,18,20,10,26,36,23,20,9,13,1,112,3
Home,44,81,15,25,16,18,7,30,37,26,21,7,15,2,119,-3
Road,28,85,7,23,10,13,12,36,48,20,20,4,13,8,73,3.5
Home,39,97,7,30,11,21,17,42,59,19,18,5,7,8,96,-3.5
Road,41,90,10,28,17,21,10,31,41,24,19,6,12,4,109,5
Home,46,95,14,32,20,25,17,37,54,26,17,6,13,6,126,-5
Road,31,83,9,32,15,19,13,27,40,15,17,9,15,2,86,10
Home,43,84,6,25,18,20,14,34,48,18,19,7,13,8,110,-10
Road,33,90,5,17,14,16,14,32,46,8,16,7,8,6,85,3.5
Home,30,78,5,25,12,14,10,38,48,11,14,4,13,3,77,-3.5
Road,39,84,7,28,11,17,8,41,49,25,18,9,16,6,96,3
Home,37,90,10,29,16,24,8,36,44,25,16,11,11,4,100,-3
Road,46,97,9,26,15,18,18,28,46,21,28,14,11,7,116,7.5
Home,36,76,1,7,23,29,10,25,35,18,19,5,18,8,96,-7.5
Road,29,93,6,19,17,20,11,33,44,23,15,5,7,4,81,10
Home,40,83,11,25,13,14,5,47,52,26,14,4,13,8,104,-10
Road,33,88,12,34,23,26,13,35,48,19,21,2,14,1,101,-2
Home,45,82,9,24,14,20,1,36,37,31,21,9,8,12,113,2
Road,35,83,11,29,24,30,7,23,30,19,19,6,16,2,105,9
Home,49,89,7,26,19,24,10,36,46,23,24,9,16,5,124,-9
Road,44,90,9,28,7,12,9,41,50,33,20,10,11,7,104,-7
Home,31,83,11,32,15,19,7,36,43,19,12,6,13,3,88,7
Road,31,77,9,25,9,12,7,41,48,16,25,7,12,3,80,1.5
Home,21,73,5,25,17,22,10,35,45,9,14,3,17,7,64,-1.5
Road,43,94,8,23,19,31,6,38,44,23,25,8,11,2,113,-3.5
Home,39,83,4,25,29,39,9,50,59,29,26,7,19,4,111,3.5
Road,44,78,10,24,18,19,3,31,34,30,18,8,12,6,116,-6
Home,39,87,12,25,17,21,15,30,45,24,21,6,13,1,107,6
Road,40,76,13,29,28,34,5,32,37,27,24,7,14,6,121,-7
Home,38,86,10,26,29,35,9,28,37,21,24,7,14,4,115,7
Road,39,76,12,27,12,17,5,38,43,22,17,3,12,5,102,6
Home,42,94,12,32,15,20,10,29,39,28,16,8,4,3,111,-6
Road,40,97,15,43,21,28,8,44,52,29,21,7,14,5,116,-5
Home,43,98,14,36,21,25,10,43,53,27,23,9,11,6,121,5
Road,43,85,13,27,15,26,18,30,48,21,21,5,16,7,114,4.5
Home,42,88,11,27,16,22,12,26,38,22,22,9,10,5,111,-4.5
Road,26,77,13,28,22,27,5,29,34,13,16,8,13,5,87,5.5
Home,34,78,8,21,19,22,10,40,50,17,21,6,19,8,95,-5.5
Road,33,82,12,31,16,17,9,37,46,22,13,3,8,7,94,2.5
Home,37,86,7,20,11,16,11,39,50,22,13,5,5,4,92,-2.5
Road,39,92,6,21,21,34,12,32,44,18,19,11,15,7,105,-2
Home,45,86,17,35,13,20,6,38,44,33,23,11,18,9,120,2
Road,25,64,7,22,14,22,5,29,34,16,25,5,16,5,71,0
Home,29,76,2,18,33,38,13,33,46,15,19,8,9,7,93,0
Road,42,95,14,38,26,32,18,27,45,30,25,8,12,5,124,-9.5
Home,46,89,10,20,19,25,10,31,41,27,23,7,13,1,121,9.5
